text,intent
Привет,greeting
Здравствуйте,greeting
Добрый день,greeting
Доброе утро,greeting
Добрый вечер,greeting
Приветствую,greeting
Хай,greeting
Hello,greeting
Hi,greeting
Рад тебя видеть,greeting

Пока,goodbye
До свидания,goodbye
Прощай,goodbye
Увидимся,goodbye
Всего доброго,goodbye
До встречи,goodbye
Ну пока,goodbye
Ладно пока,goodbye
Bye,goodbye
Хорошего дня,goodbye

Как дела,smalltalk
Как ты,smalltalk
Как поживаешь,smalltalk
Что нового,smalltalk
Как жизнь,smalltalk
Как настроение,smalltalk
Как у тебя дела,smalltalk
Ты любишь свою работу,smalltalk
Как сам,smalltalk
Все хорошо у тебя,smalltalk
Как проходит день,smalltalk
Чем занимаешься,smalltalk

Что ты умеешь,help
Что ты умеешь делать,help
Что ты можешь,help
Что ты можешь делать,help
Чем ты можешь помочь,help
Помощь,help
Help,help
Какие у тебя возможности,help
Что можно у тебя спросить,help
Какие команды ты понимаешь,help
Чем ты полезен,help
Что у тебя можно узнать,help

Сколько времени,time
Который час,time
Сколько сейчас времени,time
Скажи время,time
Текущее время,time
Какое сейчас время,time
Покажи время,time
Сколько времени сейчас,time
Скажи который час,time
Мне нужно узнать время,time
Сколько там времени,time
Скажи текущее время,time
Какой сейчас час,time
Можно узнать время,time
Сколько уже времени,time

Какое сегодня число,date
Какая сегодня дата,date
Скажи дату,date
Сегодняшняя дата,date
Какое сейчас число,date
Какой сегодня день,date
Назови сегодняшнюю дату,date
Покажи дату,date
Какая дата сегодня,date
Мне нужна дата,date
Скажи сегодняшнее число,date
Какая сегодня календарная дата,date
Какое завтра число,date
Какая дата завтра,date
Какая дата будет завтра,date
Что за число завтра,date
Что за дата завтра,date
Завтрашняя дата,date
Какое число будет завтра,date
Скажи дату на завтра,date

Какая погода,weather
Погода,weather
Какая сегодня погода,weather
Что с погодой,weather
Что по погоде,weather
Какая погода в Москве,weather
Погода в Москве,weather
Какая погода в Самаре,weather
Погода в Самаре,weather
Какая погода в Казани,weather
Погода в Казани,weather
Что там на улице,weather
Как думаешь какая погода в Москве,weather
Какая сейчас температура в Уфе,weather
Какая температура на улице,weather
Холодно ли сегодня,weather
Ветер сильный сегодня,weather
Облачно ли в Краснодаре,weather
Будет ли дождь,weather
Будет ли дождь в Самаре,weather
Будет ли дождь завтра в Москве,weather
Ожидаются ли осадки,weather
Нужно ли брать зонт,weather
Стоит ли брать зонт,weather
Брать ли сегодня зонт,weather
Понадобится ли зонт,weather
Нужен ли зонт в Москве,weather
Стоит ли брать зонт в Самаре,weather
Будет снег,weather
Будет ли снег,weather
Осадки сегодня будут,weather
Жарко ли на улице,weather
Какая температура в Москве,weather
Что с погодой в Петербурге,weather
Что по погоде в СПб,weather
Погода в Санкт-Петербурге,weather
Погода в Новосибирске,weather
Какая погода в Екатеринбурге,weather
Какая погода в Краснодаре,weather
Скажи погоду в Самаре,weather
Какая погода в Уфе,weather
Что с погодой в Омске,weather
Какая погода в Воронеже,weather
