text,intent
РїСЂРёРІРµС‚,greeting
Р·РґСЂР°РІСЃС‚РІСѓР№,greeting
РґРѕР±СЂС‹Р№ РґРµРЅСЊ,greeting
РґРѕР±СЂРѕРµ СѓС‚СЂРѕ,greeting
РґРѕР±СЂС‹Р№ РІРµС‡РµСЂ,greeting
РїСЂРёРІРµС‚ Р±РѕС‚,greeting
С…Р°Р№,greeting
Р·РґСЂР°РІСЃС‚РІСѓР№С‚Рµ,greeting
РєР°Рє РґРµР»Р°,how_are_you
РєР°Рє Сѓ С‚РµР±СЏ РґРµР»Р°,how_are_you
С‡С‚Рѕ РЅРѕРІРѕРіРѕ,how_are_you
РєР°Рє РЅР°СЃС‚СЂРѕРµРЅРёРµ,how_are_you
РєР°Рє РїРѕР¶РёРІР°РµС€СЊ,how_are_you
РєР°Рє С‚С‹,how_are_you
РІСЃРµ С…РѕСЂРѕС€Рѕ,how_are_you
РєР°Рє Р¶РёР·РЅСЊ,how_are_you
РєР°РєР°СЏ РїРѕРіРѕРґР° РІ РјРѕСЃРєРІРµ,weather
РєР°РєР°СЏ РїРѕРіРѕРґР° РІ РєР°Р·Р°РЅРё,weather
РїРѕРіРѕРґР° РІ РЅРёР¶РЅРµРј РЅРѕРІРіРѕСЂРѕРґРµ,weather
СЃРєР°Р¶Рё РїРѕРіРѕРґСѓ РІ СЃР°РјР°СЂРµ,weather
С‡С‚Рѕ РїРѕ РїРѕРіРѕРґРµ РІ СЃРїР±,weather
РєР°РєР°СЏ СЃРµР№С‡Р°СЃ С‚РµРјРїРµСЂР°С‚СѓСЂР° РІ СѓС„Рµ,weather
Р±СѓРґРµС‚ Р»Рё РґРѕР¶РґСЊ Р·Р°РІС‚СЂР° РІ РјРѕСЃРєРІРµ,weather
РїРѕРіРѕРґР°,weather
РєР°РєР°СЏ РїРѕРіРѕРґР°,weather
С‡С‚Рѕ СЃ РїРѕРіРѕРґРѕР№,weather
РєР°РєР°СЏ С‚РµРјРїРµСЂР°С‚СѓСЂР° РЅР° СѓР»РёС†Рµ,weather
Р±СѓРґРµС‚ РґРѕР¶РґСЊ,weather
РІРµС‚РµСЂ СЃРёР»СЊРЅС‹Р№ СЃРµРіРѕРґРЅСЏ,weather
С…РѕР»РѕРґРЅРѕ Р»Рё СЃРµРіРѕРґРЅСЏ,weather
РїРѕРєР°,goodbye
РґРѕ СЃРІРёРґР°РЅРёСЏ,goodbye
СѓРІРёРґРёРјСЃСЏ,goodbye
РґРѕ РІСЃС‚СЂРµС‡Рё,goodbye
РІСЃРµРіРѕ РґРѕР±СЂРѕРіРѕ,goodbye
Р±Р°Р№,goodbye
РїСЂРѕС‰Р°Р№,goodbye
РґРѕ СЃРєРѕСЂРѕРіРѕ,goodbye
какая погода,weather
какая сейчас погода,weather
что с погодой,weather
что с погодой сейчас,weather
какая сегодня погода,weather
какая погода на улице,weather
подскажи погоду,weather
скажи погоду,weather
интересует погода,weather
хочу узнать погоду,weather
что там по погоде,weather
какая температура сейчас,weather
будет ли дождь,weather
как ты считаешь какая погода сейчас,weather
не подскажешь какая сейчас погода,weather
можешь сказать какая погода сейчас,weather
какая погода в москве,weather
какая погода в самаре,weather
какая погода в самаре сейчас,weather
что с погодой в самаре,weather
как погода в самаре,weather
подскажи погоду в самаре,weather
скажи погоду в самаре,weather
интересует погода в самаре,weather
хочу узнать погоду в самаре,weather
что на улице в самаре,weather
какая температура в самаре,weather
что там с погодой в самаре,weather
как ты считаешь какая погода в самаре сейчас,weather
не подскажешь погоду в самаре,weather
можешь сказать какая погода в самаре,weather
какая погода в краснодаре,weather
какая погода в мурманске,weather
какая погода в казани,weather
какая погода в санкт-петербурге,weather
какая погода в нижнем новгороде,weather
